Hybridization REF	TCGA-06-0649-01B-01T-0341-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-662	6.14556369803955
hsa-miR-663	8.41885888725683
hsa-miR-668	5.86309427284171
hsa-miR-671	7.73714819697382
hsa-miR-675	5.73209902666523
hsa-miR-7	7.3807645312126
hsa-miR-758	6.06858469127303
hsa-miR-765	7.26300941368658
hsa-miR-766	6.38039950857348
hsa-miR-767-3p	5.76035317738346
hsa-miR-767-5p	5.95969171948413
hsa-miR-768-3p	10.4495383743887
hsa-miR-768-5p	8.51025170313893
hsa-miR-769-3p	6.24857025973858
hsa-miR-769-5p	6.64883394052076
hsa-miR-770-5p	7.62824249696776
hsa-miR-801	7.5653310264371
hsa-miR-802	5.71151215170847
hsa-miR-9	10.4654727537161
hsa-miR-9*	12.5301181554848
hsa-miR-92	10.4280942854131
hsa-miR-92b	8.78560894782598
hsa-miR-93	8.67165571259457
hsa-miR-95	6.27324129207129
hsa-miR-96	5.79858621210176
hsa-miR-98	7.61109042522515
hsa-miR-99a	10.9538262197854
hsa-miR-99b	8.1233450326148
hsv1-miR-H1	6.86509911165988
kshv-miR-K12-1	5.82658483302025
kshv-miR-K12-10a	6.15371515360863
kshv-miR-K12-10b	6.16160579901294
kshv-miR-K12-11	5.74888118245514
kshv-miR-K12-12	5.88317797786995
kshv-miR-K12-2	5.8084821036487
kshv-miR-K12-3	7.41474342679688
kshv-miR-K12-3*	5.68768275977979
kshv-miR-K12-4-3p	5.77398379891941
kshv-miR-K12-4-5p	5.84244014307882
kshv-miR-K12-5	5.7708659885144
kshv-miR-K12-6-3p	5.76283999370983
kshv-miR-K12-6-5p	5.70141499942827
kshv-miR-K12-7	6.00226108471179
kshv-miR-K12-8	6.04451620768025
kshv-miR-K12-9	5.65462156494445
kshv-miR-K12-9*	5.79289531911
